stationcode,name,latitude,longitude,nom_arrondissement_communes,id,record_timestamp,ebike,mechanical,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,is_returning
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,8983,2024-07-22T04:31:00.625+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,10477,2024-07-22T04:35:00.522+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,11973,2024-07-22T04:37:01.327+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,13469,2024-07-22T04:39:00.436+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,14965,2024-07-22T04:41:00.336+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,16463,2024-07-22T04:43:01.281+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,17958,2024-07-22T04:45:01.442+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,19454,2024-07-22T04:49:00.335+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
7002,Vaneau - Sèvres,48.8485632331,2.3204218259,Paris,20950,2024-07-22T04:51:01.555+02:00,2,31,2024-07-22T03:48:50+02:00,33,1,35,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,6,2024-07-22T04:19:01.377+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,1504,2024-07-22T04:22:00.326+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,2998,2024-07-22T04:21:00.518+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,4494,2024-07-22T04:25:00.791+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,5990,2024-07-22T04:27:00.312+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,7486,2024-07-22T04:29:00.488+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,8984,2024-07-22T04:31:00.625+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,10479,2024-07-22T04:35:00.522+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,11975,2024-07-22T04:37:01.327+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,13471,2024-07-22T04:39:00.436+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,14968,2024-07-22T04:41:00.336+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,16466,2024-07-22T04:43:01.281+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,17961,2024-07-22T04:45:01.442+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,19457,2024-07-22T04:49:00.335+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
42016,Pierre et Marie Curie - Maurice Thorez,48.8158022636,2.3768049851,Ivry-sur-Seine,20953,2024-07-22T04:51:01.555+02:00,11,8,2024-07-22T03:51:45+02:00,19,8,27,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,7,2024-07-22T04:19:01.377+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,1505,2024-07-22T04:22:00.326+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,2999,2024-07-22T04:21:00.518+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,4495,2024-07-22T04:25:00.791+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,5991,2024-07-22T04:27:00.312+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,7487,2024-07-22T04:29:00.488+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,8985,2024-07-22T04:31:00.625+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,10480,2024-07-22T04:35:00.522+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,11976,2024-07-22T04:37:01.327+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,13472,2024-07-22T04:39:00.436+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,14969,2024-07-22T04:41:00.336+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,16467,2024-07-22T04:43:01.281+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,17962,2024-07-22T04:45:01.442+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
41301,Bois de Vincennes - Gare,48.8360222429,2.4708339951,Nogent-sur-Marne,19458,2024-07-22T04:49:00.335+02:00,15,27,2024-07-22T03:52:56+02:00,42,6,50,OUI,OUI,OUI
